Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
25-09-2018,09:12,Leiden Centraal,11:37,Oosterbeek,"€10,60","€0,00",Reis,2,Dal Voordeel,,
25-09-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
25-09-2018,19:19,Ede-Wageningen,21:08,Leiden Centraal,"€9,70","€0,00",Reis,2,Dal Voordeel,,
28-09-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
28-09-2018,09:58,Leiden Centraal,11:06,Utrecht Centraal,"€5,70","€0,00",Reis,2,Dal Voordeel,,
28-09-2018,13:27,Utrecht Centraal,14:10,Utrecht Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
28-09-2018,16:12,Utrecht Centraal,17:12,Leiden Centraal,"€9,50","€0,00",Reis,2,Dal Voordeel,,
29-09-2018,10:29,Leiden Centraal,10:30,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
02-10-2018,17:28,Sassenheim,17:55,Amsterdam Lelylaan,"€6,60","€0,00",Reis,2,Dal Voordeel,,
02-10-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
02-10-2018,23:19,Amsterdam Centraal,00:13,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
14-10-2018,,,,,"€0,00","€4,50",Saldo opladen,,,,
14-10-2018,15:19,Leiden Centraal,15:20,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
14-10-2018,15:23,Leiden Centraal,15:27,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
18-10-2018,10:10,Leiden Centraal,10:26,Den Haag Centraal,"€2,10","€0,00",Reis,2,Dal Voordeel,,
18-10-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
18-10-2018,16:29,Den Haag Centraal,17:01,Leiden Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
22-10-2018,17:47,Leiden Centraal,18:08,Den Haag Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
